CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 39.742188 1667770997.2205
MEM 40.492188 1667770997.3209
MEM 40.492188 1667770997.4213
MEM 38.593750 1667770997.5217
MEM 42.093750 1667770997.6223
MEM 60.945312 1667770997.7227
MEM 62.429688 1667770997.8230
MEM 62.066406 1667770997.9233
MEM 62.066406 1667770998.0236
MEM 62.066406 1667770998.1239
MEM 62.066406 1667770998.2243
MEM 48.566406 1667770998.3247
MEM 48.566406 1667770998.4251
MEM 48.566406 1667770998.5255
MEM 48.566406 1667770998.6258
MEM 48.566406 1667770998.7262
MEM 48.566406 1667770998.8267
MEM 48.566406 1667770998.9271
MEM 48.566406 1667770999.0276
MEM 48.566406 1667770999.1280
MEM 48.566406 1667770999.2285
MEM 48.566406 1667770999.3289
MEM 48.566406 1667770999.4292
MEM 48.566406 1667770999.5295
MEM 48.566406 1667770999.6299
MEM 48.566406 1667770999.7305
MEM 48.566406 1667770999.8309
MEM 48.566406 1667770999.9314
MEM 48.566406 1667771000.0318
MEM 52.171875 1667771000.1322
MEM 46.414062 1667771000.2327
MEM 50.195312 1667771000.3331
MEM 49.195312 1667771000.4335
MEM 49.195312 1667771000.5339
MEM 49.195312 1667771000.6344
MEM 68.718750 1667771000.7348
MEM 60.203125 1667771000.8351
MEM 50.199219 1667771000.9355
MEM 50.199219 1667771001.0359
MEM 50.199219 1667771001.1366
MEM 50.199219 1667771001.2375
MEM 50.199219 1667771001.3383
MEM 50.199219 1667771001.4391
MEM 50.199219 1667771001.5400
MEM 50.199219 1667771001.6409
MEM 50.199219 1667771001.7417
MEM 50.199219 1667771001.8426
MEM 50.199219 1667771001.9428
MEM 50.199219 1667771002.0436
MEM 50.199219 1667771002.1444
MEM 50.199219 1667771002.2453
MEM 50.199219 1667771002.3463
MEM 50.199219 1667771002.4471
MEM 50.199219 1667771002.5480
MEM 50.199219 1667771002.6489
MEM 50.199219 1667771002.7498
MEM 50.199219 1667771002.8507
MEM 50.199219 1667771002.9515
MEM 50.199219 1667771003.0523
MEM 50.199219 1667771003.1532
MEM 50.199219 1667771003.2541
MEM 50.199219 1667771003.3549
MEM 50.199219 1667771003.4558
MEM 50.199219 1667771003.5565
MEM 50.199219 1667771003.6575
MEM 50.199219 1667771003.7587
MEM 50.199219 1667771003.8597
MEM 50.199219 1667771003.9607
MEM 50.199219 1667771004.0617
MEM 50.199219 1667771004.1627
MEM 50.199219 1667771004.2637
MEM 50.199219 1667771004.3647
MEM 50.199219 1667771004.4657
MEM 50.199219 1667771004.5663
MEM 50.199219 1667771004.6668
MEM 50.199219 1667771004.7677
MEM 50.199219 1667771004.8684
MEM 50.199219 1667771004.9688
MEM 50.199219 1667771005.0692
MEM 50.199219 1667771005.1701
MEM 50.199219 1667771005.2708
MEM 50.199219 1667771005.3714
MEM 50.199219 1667771005.4721
MEM 50.199219 1667771005.5726
MEM 50.199219 1667771005.6729
MEM 50.199219 1667771005.7732
MEM 50.199219 1667771005.8736
MEM 50.199219 1667771005.9742
MEM 50.199219 1667771006.0747
MEM 50.199219 1667771006.1752
MEM 50.199219 1667771006.2758
MEM 50.199219 1667771006.3763
MEM 50.199219 1667771006.4768
MEM 50.199219 1667771006.5773
MEM 50.199219 1667771006.6777
MEM 50.199219 1667771006.7782
MEM 50.199219 1667771006.8786
MEM 50.199219 1667771006.9791
MEM 50.199219 1667771007.0795
MEM 50.199219 1667771007.1799
MEM 50.199219 1667771007.2803
MEM 50.199219 1667771007.3807
MEM 50.199219 1667771007.4811
MEM 50.199219 1667771007.5816
MEM 50.199219 1667771007.6820
