CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 41.617188 1667770812.4262
CHLD 0 7.078125 1667770812.4343
CHLD 1 172.988281 1667770812.4343
CHLD 2 17.429688 1667770812.4344
CHLD 3 20.074219 1667770812.4344
CHLD 4 20.777344 1667770812.4344
CHLD 5 26.335938 1667770812.4344
CHLD 6 7.125000 1667770812.4344
MEM 41.667969 1667770812.5349
CHLD 0 7.078125 1667770812.5413
CHLD 1 172.988281 1667770812.5413
CHLD 2 17.429688 1667770812.5413
CHLD 3 20.074219 1667770812.5413
CHLD 4 20.777344 1667770812.5413
CHLD 5 25.621094 1667770812.5413
CHLD 6 7.125000 1667770812.5414
MEM 47.785156 1667770812.6418
CHLD 0 7.078125 1667770812.6464
CHLD 1 173.246094 1667770812.6464
CHLD 2 17.429688 1667770812.6464
CHLD 3 20.074219 1667770812.6464
CHLD 4 20.777344 1667770812.6465
CHLD 5 25.621094 1667770812.6465
CHLD 6 7.125000 1667770812.6465
MEM 44.332031 1667770812.7469
CHLD 0 7.078125 1667770812.7515
CHLD 1 173.246094 1667770812.7515
CHLD 2 17.429688 1667770812.7515
CHLD 3 20.074219 1667770812.7515
CHLD 4 20.777344 1667770812.7516
CHLD 5 26.468750 1667770812.7516
CHLD 6 7.125000 1667770812.7516
MEM 44.332031 1667770812.8520
CHLD 0 7.078125 1667770812.8561
CHLD 1 173.246094 1667770812.8561
CHLD 2 17.429688 1667770812.8561
CHLD 3 20.074219 1667770812.8561
CHLD 4 20.777344 1667770812.8561
CHLD 5 24.484375 1667770812.8562
CHLD 6 7.125000 1667770812.8562
MEM 44.332031 1667770812.9568
CHLD 0 7.078125 1667770812.9609
CHLD 1 173.246094 1667770812.9609
CHLD 2 17.429688 1667770812.9609
CHLD 3 20.074219 1667770812.9610
CHLD 4 20.777344 1667770812.9610
CHLD 5 24.484375 1667770812.9610
CHLD 6 7.125000 1667770812.9610
MEM 47.699219 1667770813.0614
CHLD 0 7.078125 1667770813.0647
CHLD 1 173.246094 1667770813.0647
CHLD 2 17.429688 1667770813.0647
CHLD 3 20.074219 1667770813.0647
CHLD 4 20.777344 1667770813.0647
CHLD 5 25.847656 1667770813.0647
CHLD 6 7.125000 1667770813.0647
MEM 47.957031 1667770813.1651
CHLD 0 7.078125 1667770813.1697
CHLD 1 176.339844 1667770813.1697
CHLD 2 17.429688 1667770813.1697
CHLD 3 20.074219 1667770813.1698
CHLD 4 20.777344 1667770813.1698
CHLD 5 28.957031 1667770813.1698
CHLD 6 7.125000 1667770813.1698
MEM 64.800781 1667770813.2701
CHLD 0 7.078125 1667770813.2731
CHLD 1 176.597656 1667770813.2731
CHLD 2 17.429688 1667770813.2731
CHLD 3 20.074219 1667770813.2731
CHLD 4 20.777344 1667770813.2731
CHLD 5 28.957031 1667770813.2731
CHLD 6 7.125000 1667770813.2731
MEM 75.496094 1667770813.3735
CHLD 0 7.078125 1667770813.3766
CHLD 1 178.402344 1667770813.3766
CHLD 2 17.429688 1667770813.3766
CHLD 3 20.074219 1667770813.3766
CHLD 4 20.777344 1667770813.3766
CHLD 5 33.140625 1667770813.3766
CHLD 6 7.125000 1667770813.3766
MEM 79.105469 1667770813.4770
CHLD 0 7.078125 1667770813.4803
CHLD 1 178.402344 1667770813.4803
CHLD 2 17.429688 1667770813.4803
CHLD 3 20.074219 1667770813.4803
CHLD 4 20.777344 1667770813.4803
CHLD 5 32.359375 1667770813.4804
CHLD 6 7.125000 1667770813.4804
MEM 79.105469 1667770813.5807
CHLD 0 7.078125 1667770813.5842
CHLD 1 178.402344 1667770813.5842
CHLD 2 17.429688 1667770813.5842
CHLD 3 20.074219 1667770813.5842
CHLD 4 20.777344 1667770813.5843
CHLD 5 31.375000 1667770813.5843
CHLD 6 7.125000 1667770813.5843
MEM 79.105469 1667770813.6847
CHLD 0 7.078125 1667770813.6879
CHLD 1 178.402344 1667770813.6879
CHLD 2 17.429688 1667770813.6879
CHLD 3 20.074219 1667770813.6879
CHLD 4 20.777344 1667770813.6879
CHLD 5 28.464844 1667770813.6879
CHLD 6 7.125000 1667770813.6879
MEM 77.140625 1667770813.7885
CHLD 0 7.078125 1667770813.7946
CHLD 1 178.402344 1667770813.7947
CHLD 2 17.429688 1667770813.7947
CHLD 3 20.074219 1667770813.7947
CHLD 4 20.777344 1667770813.7947
CHLD 5 29.488281 1667770813.7947
CHLD 6 7.125000 1667770813.7947
MEM 77.140625 1667770813.8951
CHLD 0 7.078125 1667770813.8980
CHLD 1 178.402344 1667770813.8980
CHLD 2 17.429688 1667770813.8980
CHLD 3 20.074219 1667770813.8980
CHLD 4 20.777344 1667770813.8980
CHLD 5 29.062500 1667770813.8980
CHLD 6 7.125000 1667770813.8980
MEM 77.652344 1667770813.9985
CHLD 0 7.078125 1667770814.0034
CHLD 1 178.402344 1667770814.0034
CHLD 2 17.429688 1667770814.0034
CHLD 3 20.074219 1667770814.0034
CHLD 4 20.777344 1667770814.0034
CHLD 5 31.437500 1667770814.0034
CHLD 6 7.125000 1667770814.0035
MEM 75.789062 1667770814.1038
CHLD 0 7.078125 1667770814.1069
CHLD 1 178.656250 1667770814.1069
CHLD 2 17.429688 1667770814.1069
CHLD 3 20.074219 1667770814.1069
CHLD 4 20.777344 1667770814.1070
CHLD 5 30.585938 1667770814.1070
CHLD 6 7.125000 1667770814.1070
MEM 75.789062 1667770814.2073
CHLD 0 7.078125 1667770814.2108
CHLD 1 178.656250 1667770814.2108
CHLD 2 17.429688 1667770814.2108
CHLD 3 20.074219 1667770814.2108
CHLD 4 20.777344 1667770814.2108
CHLD 5 30.585938 1667770814.2108
CHLD 6 7.125000 1667770814.2109
MEM 75.789062 1667770814.3113
CHLD 0 7.078125 1667770814.3153
CHLD 1 178.656250 1667770814.3153
CHLD 2 17.429688 1667770814.3153
CHLD 3 20.074219 1667770814.3153
CHLD 4 20.777344 1667770814.3153
CHLD 5 29.824219 1667770814.3153
CHLD 6 7.125000 1667770814.3153
MEM 75.789062 1667770814.4156
CHLD 0 7.078125 1667770814.4186
CHLD 1 178.656250 1667770814.4186
CHLD 2 17.429688 1667770814.4186
CHLD 3 20.074219 1667770814.4186
CHLD 4 20.777344 1667770814.4186
CHLD 5 29.824219 1667770814.4186
CHLD 6 7.125000 1667770814.4186
MEM 75.789062 1667770814.5191
CHLD 0 7.078125 1667770814.5256
CHLD 1 178.656250 1667770814.5256
CHLD 2 17.429688 1667770814.5256
CHLD 3 20.074219 1667770814.5256
CHLD 4 20.777344 1667770814.5257
CHLD 5 29.824219 1667770814.5257
CHLD 6 7.125000 1667770814.5257
MEM 74.812500 1667770814.6261
CHLD 0 7.078125 1667770814.6302
CHLD 1 178.656250 1667770814.6303
CHLD 2 17.429688 1667770814.6303
CHLD 3 20.074219 1667770814.6303
