CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
CHLD 2 5.117188 1667753859.8193
MEM 25.125000 1667753859.9202
CHLD 0 7.125000 1667753859.9365
CHLD 1 171.609375 1667753859.9366
CHLD 2 5.117188 1667753859.9367
MEM 25.125000 1667753860.0373
CHLD 0 7.125000 1667753860.0427
CHLD 1 171.609375 1667753860.0428
CHLD 2 5.117188 1667753860.0428
MEM 25.125000 1667753860.1438
CHLD 0 7.125000 1667753860.1530
CHLD 1 171.609375 1667753860.1530
CHLD 2 5.117188 1667753860.1530
MEM 25.125000 1667753860.2539
CHLD 0 7.125000 1667753860.2629
CHLD 1 171.609375 1667753860.2629
CHLD 2 5.117188 1667753860.2629
MEM 25.125000 1667753860.3641
CHLD 0 7.125000 1667753860.3741
CHLD 1 171.609375 1667753860.3741
CHLD 2 5.117188 1667753860.3742
MEM 25.125000 1667753860.4749
CHLD 0 7.125000 1667753860.4830
CHLD 1 171.609375 1667753860.4830
CHLD 2 5.117188 1667753860.4831
MEM 25.125000 1667753860.5839
CHLD 0 7.125000 1667753860.5948
CHLD 1 171.609375 1667753860.5948
CHLD 2 5.117188 1667753860.5948
MEM 25.125000 1667753860.6957
CHLD 0 7.125000 1667753860.7113
CHLD 1 171.609375 1667753860.7114
CHLD 2 5.117188 1667753860.7114
MEM 25.125000 1667753860.8123
CHLD 0 7.125000 1667753860.8293
CHLD 1 171.609375 1667753860.8293
CHLD 2 5.117188 1667753860.8294
MEM 25.125000 1667753860.9300
CHLD 0 7.125000 1667753860.9417
CHLD 1 171.609375 1667753860.9418
CHLD 2 5.117188 1667753860.9418
MEM 25.125000 1667753861.0423
CHLD 0 7.125000 1667753861.0522
CHLD 1 171.609375 1667753861.0522
CHLD 2 5.117188 1667753861.0522
MEM 25.125000 1667753861.1531
CHLD 0 7.125000 1667753861.1675
CHLD 1 171.609375 1667753861.1675
CHLD 2 5.117188 1667753861.1676
MEM 25.125000 1667753861.2684
CHLD 0 7.125000 1667753861.2799
CHLD 1 171.609375 1667753861.2799
CHLD 2 5.117188 1667753861.2799
MEM 25.125000 1667753861.3805
CHLD 0 7.125000 1667753861.3915
CHLD 1 171.609375 1667753861.3917
CHLD 2 5.117188 1667753861.3918
MEM 25.125000 1667753861.4923
CHLD 0 7.125000 1667753861.5027
CHLD 1 171.609375 1667753861.5027
CHLD 2 5.117188 1667753861.5028
MEM 25.125000 1667753861.6035
CHLD 0 7.125000 1667753861.6121
CHLD 1 171.609375 1667753861.6122
CHLD 2 5.117188 1667753861.6122
MEM 25.125000 1667753861.7126
CHLD 0 7.125000 1667753861.7178
CHLD 1 171.609375 1667753861.7178
CHLD 2 5.117188 1667753861.7178
MEM 25.125000 1667753861.8183
CHLD 0 7.125000 1667753861.8220
CHLD 1 171.609375 1667753861.8220
CHLD 2 5.117188 1667753861.8221
MEM 25.125000 1667753861.9225
CHLD 0 7.125000 1667753861.9263
CHLD 1 171.609375 1667753861.9263
CHLD 2 5.117188 1667753861.9263
MEM 25.125000 1667753862.0268
CHLD 0 7.125000 1667753862.0311
CHLD 1 171.609375 1667753862.0311
CHLD 2 5.117188 1667753862.0311
MEM 25.125000 1667753862.1316
CHLD 0 7.125000 1667753862.1357
CHLD 1 171.609375 1667753862.1357
CHLD 2 5.117188 1667753862.1357
MEM 25.125000 1667753862.2361
CHLD 0 7.125000 1667753862.2398
CHLD 1 171.609375 1667753862.2398
CHLD 2 5.117188 1667753862.2398
MEM 25.125000 1667753862.3405
CHLD 0 7.125000 1667753862.3476
CHLD 1 171.609375 1667753862.3476
CHLD 2 5.117188 1667753862.3476
MEM 25.125000 1667753862.4484
CHLD 0 7.125000 1667753862.4533
CHLD 1 171.609375 1667753862.4533
CHLD 2 5.117188 1667753862.4533
MEM 25.125000 1667753862.5538
CHLD 0 7.125000 1667753862.5588
CHLD 1 171.609375 1667753862.5589
CHLD 2 5.117188 1667753862.5589
MEM 25.125000 1667753862.6594
CHLD 0 7.125000 1667753862.6638
CHLD 1 171.609375 1667753862.6638
CHLD 2 5.117188 1667753862.6639
MEM 25.125000 1667753862.7650
CHLD 0 7.125000 1667753862.7878
CHLD 1 171.609375 1667753862.7879
CHLD 2 5.117188 1667753862.7880
MEM 25.125000 1667753862.8891
CHLD 0 7.125000 1667753862.9018
CHLD 1 171.609375 1667753862.9019
CHLD 2 5.117188 1667753862.9019
MEM 25.125000 1667753863.0027
CHLD 0 7.125000 1667753863.0104
CHLD 1 171.609375 1667753863.0105
CHLD 2 5.117188 1667753863.0105
MEM 25.125000 1667753863.1112
CHLD 0 7.125000 1667753863.1182
CHLD 1 171.609375 1667753863.1183
CHLD 2 5.117188 1667753863.1183
MEM 25.125000 1667753863.2188
CHLD 0 7.125000 1667753863.2236
CHLD 1 171.609375 1667753863.2236
CHLD 2 5.117188 1667753863.2236
MEM 25.125000 1667753863.3241
CHLD 0 7.125000 1667753863.3297
CHLD 1 171.609375 1667753863.3297
CHLD 2 5.117188 1667753863.3298
MEM 25.125000 1667753863.4307
CHLD 0 7.125000 1667753863.4399
CHLD 1 171.609375 1667753863.4399
CHLD 2 5.117188 1667753863.4399
MEM 25.125000 1667753863.5408
CHLD 0 7.125000 1667753863.5507
CHLD 1 171.609375 1667753863.5507
CHLD 2 5.117188 1667753863.5508
MEM 25.125000 1667753863.6515
CHLD 0 7.125000 1667753863.6602
CHLD 1 171.609375 1667753863.6603
CHLD 2 5.117188 1667753863.6603
MEM 25.125000 1667753863.7611
CHLD 0 7.125000 1667753863.7706
CHLD 1 171.609375 1667753863.7706
CHLD 2 5.117188 1667753863.7706
MEM 25.125000 1667753863.8715
CHLD 0 7.125000 1667753863.8806
CHLD 1 171.609375 1667753863.8806
CHLD 2 5.117188 1667753863.8806
MEM 25.125000 1667753863.9815
CHLD 0 7.125000 1667753863.9901
CHLD 1 171.609375 1667753863.9901
CHLD 2 5.117188 1667753863.9902
MEM 25.125000 1667753864.0909
CHLD 0 7.125000 1667753864.1012
CHLD 1 171.609375 1667753864.1013
CHLD 2 5.117188 1667753864.1013
MEM 25.125000 1667753864.2018
CHLD 0 7.125000 1667753864.2068
CHLD 1 171.609375 1667753864.2069
CHLD 2 5.117188 1667753864.2069
MEM 25.125000 1667753864.3076
CHLD 0 7.125000 1667753864.3163
CHLD 1 171.609375 1667753864.3164
CHLD 2 5.117188 1667753864.3164
MEM 25.125000 1667753864.4172
CHLD 0 7.125000 1667753864.4255
CHLD 1 171.609375 1667753864.4255
CHLD 2 5.117188 1667753864.4255
MEM 25.125000 1667753864.5261
CHLD 0 7.125000 1667753864.5340
CHLD 1 171.609375 1667753864.5341
CHLD 2 5.117188 1667753864.5341
MEM 25.125000 1667753864.6349
CHLD 0 7.125000 1667753864.6452
CHLD 1 171.609375 1667753864.6452
CHLD 2 5.117188 1667753864.6453
MEM 25.125000 1667753864.7458
CHLD 0 7.125000 1667753864.7536
CHLD 1 171.609375 1667753864.7537
CHLD 2 5.117188 1667753864.7537
MEM 25.125000 1667753864.8543
CHLD 0 7.125000 1667753864.8661
CHLD 1 171.609375 1667753864.8661
CHLD 2 5.117188 1667753864.8661
MEM 25.125000 1667753864.9668
CHLD 0 7.125000 1667753864.9783
CHLD 1 171.609375 1667753864.9783
CHLD 2 5.117188 1667753864.9784
MEM 25.125000 1667753865.0793
CHLD 0 7.125000 1667753865.0917
CHLD 1 171.609375 1667753865.0917
CHLD 2 5.117188 1667753865.0917
MEM 25.125000 1667753865.1921
CHLD 0 7.125000 1667753865.1981
CHLD 1 171.609375 1667753865.1981
CHLD 2 6.980469 1667753865.1981
